Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
32400;0;421222;0.004349;shellSort
32500;0;422525;0.004716;shellSort
32600;0;423824;0.003732;shellSort
32700;0;425126;0.004317;shellSort
32800;0;459217;0.004299;shellSort
32900;0;460618;0.004525;shellSort
33000;0;462020;0.004149;shellSort
33100;0;463420;0.005006;shellSort
33200;0;464820;0.004500;shellSort
33300;0;466219;0.004157;shellSort
33400;0;467621;0.004264;shellSort
33500;0;469022;0.005207;shellSort
33600;0;470419;0.004198;shellSort
33700;0;471821;0.005397;shellSort
33800;0;473218;0.004629;shellSort
33900;0;474621;0.004185;shellSort
34000;0;476020;0.004748;shellSort
34100;0;477421;0.004942;shellSort
34200;0;478821;0.005393;shellSort
34300;0;480224;0.004416;shellSort
34400;0;481620;0.004215;shellSort
34500;0;483021;0.005383;shellSort
34600;0;484421;0.004964;shellSort
34700;0;485822;0.006435;shellSort
34800;0;487223;0.004294;shellSort
34900;0;488620;0.004450;shellSort
35000;0;490021;0.004392;shellSort
35100;0;491421;0.004335;shellSort
35200;0;492819;0.004305;shellSort
35300;0;494222;0.004272;shellSort
35400;0;495620;0.004704;shellSort
35500;0;497022;0.004884;shellSort
35600;0;498420;0.005214;shellSort
35700;0;499823;0.005606;shellSort
35800;0;501223;0.004318;shellSort
35900;0;502622;0.005652;shellSort
36000;0;504020;0.004514;shellSort
36100;0;505420;0.004361;shellSort
36200;0;506822;0.004386;shellSort
36300;0;508223;0.004322;shellSort
36400;0;509621;0.004634;shellSort
36500;0;511022;0.004473;shellSort
36600;0;512424;0.004533;shellSort
36700;0;513824;0.004497;shellSort
36800;0;515222;0.004634;shellSort
36900;0;516619;0.004255;shellSort
37000;0;518019;0.004753;shellSort
37100;0;519422;0.004455;shellSort
37200;0;520820;0.004447;shellSort
37300;0;522222;0.004978;shellSort
37400;0;523620;0.004536;shellSort
37500;0;525023;0.004692;shellSort
37600;0;526421;0.004755;shellSort
37700;0;527821;0.004423;shellSort
37800;0;529222;0.004465;shellSort
37900;0;530620;0.005321;shellSort
38000;0;532021;0.004513;shellSort
38100;0;533422;0.004734;shellSort
38200;0;534822;0.004621;shellSort
38300;0;536223;0.005191;shellSort
38400;0;537619;0.004902;shellSort
38500;0;539022;0.006357;shellSort
38600;0;540422;0.006846;shellSort
38700;0;541823;0.008746;shellSort
38800;0;543222;0.005691;shellSort
38900;0;544625;0.004716;shellSort
39000;0;546021;0.005162;shellSort
39100;0;547423;0.005211;shellSort
39200;0;548820;0.004846;shellSort
39300;0;550221;0.004901;shellSort
39400;0;551623;0.005824;shellSort
39500;0;553022;0.004616;shellSort
39600;0;554422;0.004669;shellSort
39700;0;555822;0.004590;shellSort
39800;0;557224;0.004749;shellSort
39900;0;558625;0.006160;shellSort
40000;0;560020;0.004837;shellSort
40100;0;561422;0.005299;shellSort
40200;0;562821;0.005050;shellSort
40300;0;564224;0.004679;shellSort
40400;0;565623;0.006023;shellSort
40500;0;567023;0.004892;shellSort
40600;0;568423;0.005146;shellSort
40700;0;569826;0.004975;shellSort
40800;0;571223;0.004659;shellSort
40900;0;572624;0.004663;shellSort
41000;0;574019;0.005118;shellSort
41100;0;575420;0.004791;shellSort
41200;0;576821;0.005226;shellSort
41300;0;578221;0.005072;shellSort
41400;0;579622;0.005120;shellSort
41500;0;581021;0.004926;shellSort
41600;0;582419;0.005087;shellSort
41700;0;583822;0.004800;shellSort
41800;0;585221;0.004962;shellSort
41900;0;586623;0.006502;shellSort
42000;0;588019;0.005115;shellSort
42200;0;590822;0.006039;shellSort
42300;0;592223;0.005224;shellSort
42400;0;593621;0.005161;shellSort
42500;0;595020;0.005341;shellSort
42600;0;596422;0.005160;shellSort
42700;0;597823;0.005986;shellSort
42800;0;599222;0.006234;shellSort
42900;0;600623;0.007123;shellSort
43000;0;602025;0.005259;shellSort
43100;0;603422;0.005097;shellSort
43200;0;604820;0.006717;shellSort
43300;0;606221;0.005948;shellSort
43400;0;607621;0.005108;shellSort
43500;0;609024;0.005337;shellSort
43600;0;610421;0.005235;shellSort
43700;0;611823;0.006010;shellSort
43800;0;613222;0.006946;shellSort
43900;0;614625;0.005545;shellSort
44000;0;616023;0.006052;shellSort
44100;0;617421;0.005364;shellSort
44200;0;618822;0.007133;shellSort
44300;0;620222;0.006024;shellSort
44400;0;621623;0.005383;shellSort
44500;0;623024;0.006246;shellSort
44600;0;624423;0.005311;shellSort
44700;0;625824;0.005420;shellSort
44800;0;627221;0.005964;shellSort
44900;0;628624;0.005618;shellSort
45000;0;630024;0.005413;shellSort
45100;0;631421;0.005441;shellSort
45200;0;632820;0.006080;shellSort
45300;0;634223;0.006429;shellSort
45400;0;635622;0.007079;shellSort
45500;0;637024;0.005435;shellSort
45600;0;638420;0.005546;shellSort
45700;0;639821;0.005629;shellSort
45800;0;641223;0.005365;shellSort
45900;0;642623;0.005527;shellSort
46000;0;644023;0.006866;shellSort
46100;0;645421;0.006044;shellSort
46200;0;646823;0.005724;shellSort
46300;0;648224;0.005783;shellSort
46400;0;649621;0.007793;shellSort
46500;0;651023;0.005737;shellSort
46600;0;652421;0.006160;shellSort
46700;0;653824;0.006071;shellSort
46800;0;655223;0.005579;shellSort
46900;0;656624;0.005744;shellSort
47000;0;658024;0.005666;shellSort
47100;0;659427;0.007467;shellSort
