Кол-во элементов;Кол-во элементов в ^ 2;Кол-во перестановок;Кол-во сравнений;Сумма сравнений и перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
14300;204490000;8191;194104;202295;177722;0.001103;quickSort
14400;207360000;8191;195404;203595;179022;0.001194;quickSort
14500;210250000;8191;196704;204895;180322;0.001088;quickSort
14600;213160000;8191;198004;206195;181622;0.001414;quickSort
14700;216090000;8191;199304;207495;182922;0.001511;quickSort
14800;219040000;8191;200604;208795;184222;0.001174;quickSort
14900;222010000;8191;201904;210095;185522;0.001373;quickSort
15000;225000000;8191;203204;211395;186822;0.002078;quickSort
15100;228010000;8191;204504;212695;188122;0.001386;quickSort
15200;231040000;8191;205804;213995;189422;0.001164;quickSort
15300;234090000;8191;207104;215295;190722;0.001181;quickSort
15400;237160000;8191;208404;216595;192022;0.001449;quickSort
15500;240250000;8191;209704;217895;193322;0.001307;quickSort
15600;243360000;8191;211004;219195;194622;0.001209;quickSort
15700;246490000;8191;212304;220495;195922;0.001160;quickSort
15800;249640000;8191;213604;221795;197222;0.001381;quickSort
15900;252810000;8191;214904;223095;198522;0.001448;quickSort
16000;256000000;8191;216204;224395;199822;0.001238;quickSort
16100;259210000;8191;217504;225695;201122;0.001221;quickSort
16200;262440000;8191;218804;226995;202422;0.001215;quickSort
16300;265690000;8191;220104;228295;203722;0.002815;quickSort
16400;268960000;8208;221472;229680;205056;0.001387;quickSort
16500;272250000;8308;223172;231480;206556;0.001309;quickSort
16600;275560000;8408;224872;233280;208056;0.001231;quickSort
16700;278890000;8508;226572;235080;209556;0.001217;quickSort
16800;282240000;8608;228272;236880;211056;0.001471;quickSort
16900;285610000;8708;229972;238680;212556;0.001920;quickSort
17000;289000000;8808;231672;240480;214056;0.001269;quickSort
17100;292410000;8908;233372;242280;215556;0.001889;quickSort
17200;295840000;9008;235072;244080;217056;0.001443;quickSort
17300;299290000;9108;236772;245880;218556;0.001371;quickSort
17400;302760000;9208;238472;247680;220056;0.001398;quickSort
17500;306250000;9308;240172;249480;221556;0.001501;quickSort
17600;309760000;9408;241872;251280;223056;0.001411;quickSort
17700;313290000;9508;243572;253080;224556;0.001577;quickSort
17800;316840000;9608;245272;254880;226056;0.001367;quickSort
17900;320410000;9708;246972;256680;227556;0.001575;quickSort
18000;324000000;9808;248672;258480;229056;0.001661;quickSort
18100;327610000;9908;250372;260280;230556;0.001937;quickSort
18200;331240000;10008;252072;262080;232056;0.001605;quickSort
18300;334890000;10108;253772;263880;233556;0.001784;quickSort
18400;338560000;10208;255472;265680;235056;0.001709;quickSort
18500;342250000;10308;257172;267480;236556;0.001499;quickSort
18600;345960000;10408;258872;269280;238056;0.001489;quickSort
18700;349690000;10508;260572;271080;239556;0.001433;quickSort
18800;353440000;10608;262272;272880;241056;0.001700;quickSort
18900;357210000;10708;263972;274680;242556;0.001830;quickSort
19000;361000000;10808;265672;276480;244056;0.002140;quickSort
